2018-08-07 09:57:44.2025 ILogger INFO| Starting the user migration.  
2018-08-07 09:58:57.4085 ILogger INFO| Starting the user migration.  
2018-08-07 10:05:50.3877 ILogger INFO| Starting the user migration.  
2018-08-07 10:05:51.1499 ILogger INFO| Loading file : UserMigrationList.csv  
2018-08-07 10:07:04.4195 ILogger INFO| Starting the user migration.  
2018-08-07 10:07:04.4351 ILogger INFO| Loading file : UserMigrationList.csv  
2018-08-07 10:09:44.8754 ILogger INFO| Starting the user migration.  
2018-08-07 10:09:44.9066 ILogger INFO| Loading file : UserMigrationList.csv  
2018-08-07 10:53:48.2296 ILogger INFO| Starting the user migration.  
2018-08-07 10:53:48.2452 ILogger INFO| Loading file : UserMigrationList.csv  
2018-08-07 10:54:13.3153 ILogger INFO| Starting the user migration.  
2018-08-07 10:54:13.3447 ILogger INFO| Loading file : UserMigrationList.csv  
2018-08-07 10:55:40.8508 ILogger INFO| Starting the user migration.  
2018-08-07 10:55:43.2628 ILogger INFO| Loading file : UserMigrationList.csv  
2018-08-07 10:57:33.7647 ILogger INFO| Starting the user migration.  
2018-08-07 10:57:33.7960 ILogger INFO| Loading file : UserMigrationList.csv  
2018-08-07 11:00:59.3749 ILogger INFO| Starting the user migration.  
2018-08-07 11:00:59.3906 ILogger INFO| Loading file : UserMigrationList.csv  
2018-08-07 11:02:43.3695 ILogger INFO| Starting the user migration.  
2018-08-07 11:02:44.5544 ILogger INFO| Loading file : UserMigrationList.csv  
2018-08-07 11:03:52.7422 ILogger INFO| Starting the user migration.  
2018-08-07 11:03:52.7734 ILogger INFO| Loading file : UserMigrationList.csv  
2018-08-07 11:14:29.9639 ILogger INFO| Starting the user migration.  
2018-08-07 11:14:30.8331 ILogger INFO| Loading file : UserMigrationList.csv  
2018-08-07 11:22:44.0716 ILogger INFO| Starting the user migration.  
2018-08-07 11:22:44.0916 ILogger INFO| Loading file : UserMigrationList.csv  
2018-08-07 11:23:09.3746 ILogger INFO| Starting the user migration.  
2018-08-07 11:23:09.4107 ILogger INFO| Loading file : UserMigrationList.csv  
